season,episode,song_title,song_url,artist_name,artist_url
3,S3E1,Red Right Hand (2011 Remastered Version),https://www.tunefind.com/song/59219/308922/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
3,S3E1,Breathless,https://www.tunefind.com/song/99551/127317/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
3,S3E1,In the Bleak Mid-Winter,https://www.tunefind.com/song/233087/308959/,Australian Children's Choir,https://www.tunefind.com/artist/australian-childrens-choir
3,S3E1,Dangerous Animals,https://www.tunefind.com/song/99612/127394/,Arctic Monkeys,https://www.tunefind.com/artist/arctic-monkeys
3,S3E1,Creases,https://www.tunefind.com/song/97683/129695/,Mearl,https://www.tunefind.com/artist/mearl
3,S3E1,Fighting,https://www.tunefind.com/song/127854/167915/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E1,You and Whose Army?,https://www.tunefind.com/song/99552/127318/,Radiohead,https://www.tunefind.com/artist/radiohead
3,S3E2,Used To Be My Girl,https://www.tunefind.com/song/99963/127942/,The Last Shadow Puppets,https://www.tunefind.com/artist/the-last-shadow-puppets
3,S3E2,The Keys,https://www.tunefind.com/song/218657/289033/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E2,DNA,https://www.tunefind.com/song/30896/128122/dna,The Kills,https://www.tunefind.com/artist/the-kills
3,S3E2,Horses,https://www.tunefind.com/song/201584/266388/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E2,This Is Love,https://www.tunefind.com/song/53356/127964/,PJ Harvey,https://www.tunefind.com/artist/pj-harvey
3,S3E2,Crying Lightning,https://www.tunefind.com/song/100026/128023/,Arctic Monkeys,https://www.tunefind.com/artist/arctic-monkeys
3,S3E2,I Might Be Wrong,https://www.tunefind.com/song/63480/128022/,Radiohead,https://www.tunefind.com/artist/radiohead
3,S3E2,Sons (From 'Peaky Blinders' Original Soundtrack / Series 3),https://www.tunefind.com/song/201583/266387/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E2,Riders On the Storm,https://www.tunefind.com/song/130382/277089/,The Doors,https://www.tunefind.com/artist/the-doors
3,S3E2,Red Right Hand,https://www.tunefind.com/song/209700/277092/,The Bad Seeds,https://www.tunefind.com/artist/the-bad-seeds
3,S3E2,The Dance,https://www.tunefind.com/song/217547/287094/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E3,Red Right Hand,https://www.tunefind.com/song/72380/129696/,PJ Harvey,https://www.tunefind.com/artist/pj-harvey
3,S3E3,Burn the Witch,https://www.tunefind.com/song/6489/128468/burn-the-witch,Queens of the Stone Age,https://www.tunefind.com/artist/queens-of-the-stone-age
3,S3E3,Soldier's Things,https://www.tunefind.com/song/100334/128465/,Tom Waits,https://www.tunefind.com/artist/tom-waits
3,S3E3,Don't Sit Down 'Cause I've Moved Your Chair,https://www.tunefind.com/song/96646/128467/,Arctic Monkeys,https://www.tunefind.com/artist/arctic-monkeys
3,S3E3,Tupelo (2009 Remastered Version),https://www.tunefind.com/song/100522/128699/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
3,S3E3,Shiny Things,https://www.tunefind.com/song/101332/129997/,Tom Waits,https://www.tunefind.com/artist/tom-waits
3,S3E3,Sons (From 'Peaky Blinders' Original Soundtrack / Series 3),https://www.tunefind.com/song/201583/352697/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E3,The Docks,https://www.tunefind.com/song/265508/352698/,Dickon Hinchcliffe,https://www.tunefind.com/artist/dickon-hinchcliffe
3,S3E4,Bad Habits,https://www.tunefind.com/song/100693/128974/,The Last Shadow Puppets,https://www.tunefind.com/artist/the-last-shadow-puppets
3,S3E4,Meet Ze Mostra,https://www.tunefind.com/song/52160/128975/,PJ Harvey,https://www.tunefind.com/artist/pj-harvey
3,S3E4,Used To Be My Girl,https://www.tunefind.com/song/99963/130406/,The Last Shadow Puppets,https://www.tunefind.com/artist/the-last-shadow-puppets
3,S3E4,Arthur's Baby,https://www.tunefind.com/song/265995/353365/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E4,His Word,https://www.tunefind.com/song/176843/235181/,Dickon Hinchliffe,https://www.tunefind.com/artist/dickon-hinchliffe
3,S3E5,Lazarus,https://www.tunefind.com/song/101203/129799/,David Bowie,https://www.tunefind.com/artist/david-bowie
3,S3E5,Cherry Lips,https://www.tunefind.com/song/101305/129958/,Archie Bronson Outfit,https://www.tunefind.com/artist/archie-bronson-outfit
3,S3E5,Baby Did a Bad Bad Thing,https://www.tunefind.com/song/101306/129959/,Queen Kwong,https://www.tunefind.com/artist/queen-kwong
3,S3E5,Need (Bryan Gonzalez Remix),https://www.tunefind.com/song/101307/129960/,Ernesto Deep,https://www.tunefind.com/artist/ernesto-deep
3,S3E5,Monkey 23,https://www.tunefind.com/song/101308/129961/,The Kills,https://www.tunefind.com/artist/the-kills
3,S3E5,You Want it,https://www.tunefind.com/song/101991/130920/,Leonard Cohen,https://www.tunefind.com/artist/leonard-cohen
3,S3E5,You Want It Darker,https://www.tunefind.com/song/131602/191987/,Leonard Cohen,https://www.tunefind.com/artist/leonard-cohen
3,S3E5,Used To Be My Girl,https://www.tunefind.com/song/99963/340939/,The Last Shadow Puppets,https://www.tunefind.com/artist/the-last-shadow-puppets
3,S3E6,Life in a Glasshouse,https://www.tunefind.com/song/8107/130262/life-in-a-glass-house,Radiohead,https://www.tunefind.com/artist/radiohead
3,S3E6,Life in a Glasshouse (Full Length Version),https://www.tunefind.com/song/140238/185269/,Radiohead,https://www.tunefind.com/artist/radiohead
4,S4E1,Adore,https://www.tunefind.com/song/97876/179507/,Savages,https://www.tunefind.com/artist/savages
4,S4E1,Alas Salvation,https://www.tunefind.com/song/135919/179419/,Yak,https://www.tunefind.com/artist/yak
4,S4E1,Red Right Hand (triple j Like a Version),https://www.tunefind.com/song/135979/179509/,FIDLAR,https://www.tunefind.com/artist/fidlar
